,query_index,score_type,all_scores,average_score,two_agreement,three_agreement,arr_var,arr_std
0,0,completeness,"[3, 3, 4]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
1,0,completeness,"[4, 2, 2]",2.6666666666666665,1,0,0.8888888888888888,1.1547005383792515
2,0,conciseness,"[2, 3, 3]",2.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
3,0,conciseness,"[3, 2, 3]",2.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
4,0,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
5,0,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
6,1,completeness,"[4, 4, 4]",4.0,1,1,0.0,0.0
7,1,completeness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
8,1,conciseness,"[3, 2, 3]",2.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
9,1,conciseness,"[4, 4, 4]",4.0,1,1,0.0,0.0
10,1,understandability,"[4, 3, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
11,1,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
12,3,completeness,"[2, 3, 3]",2.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
13,3,completeness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
14,3,completeness,"[3, 3, 3]",3.0,1,1,0.0,0.0
15,3,conciseness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
16,3,conciseness,"[4, 4, 4]",4.0,1,1,0.0,0.0
17,3,conciseness,"[2, 4, 4]",3.3333333333333335,1,0,0.8888888888888888,1.1547005383792515
18,3,understandability,"[3, 3, 4]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
19,3,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
20,3,understandability,"[3, 3, 4]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
21,6,completeness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
22,6,completeness,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
23,6,completeness,"[4, 4, 4]",4.0,1,1,0.0,0.0
24,6,conciseness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
25,6,conciseness,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
26,6,conciseness,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
27,6,understandability,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
28,6,understandability,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
29,6,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
30,8,completeness,"[4, 4, 4]",4.0,1,1,0.0,0.0
31,8,completeness,"[2, 2, 3]",2.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
32,8,completeness,"[2, 2, 3]",2.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
33,8,conciseness,"[3, 3, 4]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
34,8,conciseness,"[2, 2, 3]",2.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
35,8,conciseness,"[2, 2, 3]",2.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
36,8,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
37,8,understandability,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
38,8,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
39,9,completeness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
40,9,completeness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
41,9,conciseness,"[3, 3, 3]",3.0,1,1,0.0,0.0
42,9,conciseness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
43,9,understandability,"[4, 3, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
44,9,understandability,"[3, 3, 4]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
45,11,completeness,"[4, 4, 4]",4.0,1,1,0.0,0.0
46,11,conciseness,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
47,11,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
48,2,completeness,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
49,2,completeness,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
50,2,completeness,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
51,2,completeness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
52,2,completeness,"[3, 3, 3]",3.0,1,1,0.0,0.0
53,2,completeness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
54,2,conciseness,"[4, 4, 4]",4.0,1,1,0.0,0.0
55,2,conciseness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
56,2,conciseness,"[4, 4, 4]",4.0,1,1,0.0,0.0
57,2,conciseness,"[4, 4, 4]",4.0,1,1,0.0,0.0
58,2,conciseness,"[4, 4, 4]",4.0,1,1,0.0,0.0
59,2,conciseness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
60,2,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
61,2,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
62,2,understandability,"[3, 4, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
63,2,understandability,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
64,2,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
65,2,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
66,4,completeness,"[3, 3, 3]",3.0,1,1,0.0,0.0
67,4,conciseness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
68,4,understandability,"[4, 3, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
69,7,completeness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
70,7,completeness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
71,7,completeness,"[2, 4, 3]",3.0,0,0,0.6666666666666666,1.0
72,7,conciseness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
73,7,conciseness,"[4, 3, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
74,7,conciseness,"[2, 3, 3]",2.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
75,7,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
76,7,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
77,7,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
78,10,completeness,"[3, 4, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
79,10,conciseness,"[4, 4, 3]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
80,10,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
81,5,completeness,"[2, 3, 3]",2.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
82,5,completeness,"[4, 4, 4]",4.0,1,1,0.0,0.0
83,5,completeness,"[3, 3, 3]",3.0,1,1,0.0,0.0
84,5,completeness,"[4, 3, 3]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
85,5,conciseness,"[3, 3, 4]",3.3333333333333335,1,0,0.22222222222222224,0.5773502691896258
86,5,conciseness,"[4, 4, 4]",4.0,1,1,0.0,0.0
87,5,conciseness,"[4, 4, 4]",4.0,1,1,0.0,0.0
88,5,conciseness,"[4, 3, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
89,5,understandability,"[4, 3, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
90,5,understandability,"[4, 4, 4]",4.0,1,1,0.0,0.0
91,5,understandability,"[4, 3, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
92,5,understandability,"[4, 3, 4]",3.6666666666666665,1,0,0.22222222222222224,0.5773502691896258
